x,y,avg
-5,-5,43.003
-2.368421053,-5,125.386
-2.368421053,-3.947368421,140.549
-2.368421053,-3.421052632,99.026
-2.368421053,-2.894736842,76.691
-2.368421053,-2.368421053,60.919
-2.368421053,-1.842105263,51.263
-2.368421053,-1.315789474,44.07
-2.368421053,-0.789473684,41.397
-2.368421053,-0.263157895,40.501
-5,0.263157895,196.698
-2.368421053,0.263157895,41.298
-2.368421053,0.789473684,44.208
-2.368421053,1.315789474,49.509
-2.368421053,1.842105263,58.86
-2.368421053,2.368421053,72.755
-2.368421053,2.894736842,95.703
-2.368421053,3.421052632,124.788
-2.368421053,3.947368421,183.322
-2.368421053,5,164.08
-5,0.789473684,197.272
-1.842105263,-5,142.35
-1.842105263,-3.947368421,123.733
-1.842105263,-3.421052632,84.99
-1.842105263,-2.894736842,63.675
-1.842105263,-2.368421053,49.618
-1.842105263,-1.842105263,40.71
-1.842105263,-1.315789474,35.277
-1.842105263,-0.789473684,31.977
-1.842105263,-0.263157895,31.509
-5,1.315789474,193.927
-1.842105263,0.263157895,32.578
-1.842105263,0.789473684,34.969
-1.842105263,1.315789474,39.911
-1.842105263,1.842105263,47.866
-1.842105263,2.368421053,59.871
-1.842105263,2.894736842,80.983
-1.842105263,3.421052632,110.527
-1.842105263,3.947368421,163.739
-1.842105263,5,190.754
-5,1.842105263,171.299
-1.315789474,-5,160.655
-1.315789474,-3.947368421,110.222
-1.315789474,-3.421052632,74.162
-1.315789474,-2.894736842,56.671
-1.315789474,-2.368421053,42.642
-1.315789474,-1.842105263,34.083
-1.315789474,-1.315789474,29.728
-1.315789474,-0.789473684,27.21
-1.315789474,-0.263157895,26.881
-5,2.368421053,152.201
-1.315789474,0.263157895,26.777
-1.315789474,0.789473684,29.626
-1.315789474,1.315789474,33.858
-1.315789474,1.842105263,41.308
-1.315789474,2.368421053,53.111
-1.315789474,2.894736842,72.723
-1.315789474,3.421052632,98.941
-1.315789474,3.947368421,149.599
-1.315789474,5,219.994
-5,2.894736842,121.896
-0.789473684,-5,163.22
-0.789473684,-3.947368421,106.052
-0.789473684,-3.421052632,66.715
-0.789473684,-2.894736842,50.608
-0.789473684,-2.368421053,38.287
-0.789473684,-1.842105263,30.873
-0.789473684,-1.315789474,26.828
-0.789473684,-0.789473684,23.837
-0.789473684,-0.263157895,22.965
-5,3.421052632,94.308
-0.789473684,0.263157895,23.733
-0.789473684,0.789473684,26.721
-0.789473684,1.315789474,30.839
-0.789473684,1.842105263,38.091
-0.789473684,2.368421053,48.918
-0.789473684,2.894736842,66.101
-0.789473684,3.421052632,89.229
-0.789473684,3.947368421,147.017
-0.789473684,5,229.315
-5,3.947368421,72.909
-0.263157895,-5,162.863
-0.263157895,-3.947368421,103.991
-0.263157895,-3.421052632,63.748
-0.263157895,-2.894736842,46.2
-0.263157895,-2.368421053,37.075
-0.263157895,-1.842105263,30.22
-0.263157895,-1.315789474,25.58
-0.263157895,-0.789473684,23.256
-0.263157895,-0.263157895,21.607
-5,4.473684211,60.362
-0.263157895,0.263157895,22.755
-0.263157895,0.789473684,25.334
-0.263157895,1.315789474,30.136
-0.263157895,1.842105263,36.772
-0.263157895,2.368421053,48.177
-0.263157895,2.894736842,62.165
-0.263157895,3.421052632,87.297
-0.263157895,3.947368421,148.319
-0.263157895,5,233.009
-5,5,52.201
-5,-4.473684211,51.294
0.263157895,-5,162.835
0.263157895,-3.947368421,104.07
0.263157895,-3.421052632,64.631
0.263157895,-2.894736842,46.856
0.263157895,-2.368421053,37.487
0.263157895,-1.842105263,30.627
0.263157895,-1.315789474,26.227
0.263157895,-0.789473684,24.416
0.263157895,-0.263157895,22.608
-4.473684211,-5,50.368
0.263157895,0.263157895,23.637
0.263157895,0.789473684,26.25
0.263157895,1.315789474,31.142
0.263157895,1.842105263,38.297
0.263157895,2.368421053,48.434
0.263157895,2.894736842,63.34
0.263157895,3.421052632,88.68
0.263157895,3.947368421,149.955
0.263157895,5,235.433
-4.473684211,-4.473684211,66.166
0.789473684,-5,163.924
0.789473684,-3.947368421,105.008
0.789473684,-3.421052632,66.944
0.789473684,-2.894736842,51.739
0.789473684,-2.368421053,39.807
0.789473684,-1.842105263,32.873
0.789473684,-1.315789474,28.961
0.789473684,-0.789473684,26.316
0.789473684,-0.263157895,26.105
-4.473684211,-3.947368421,86.111
0.789473684,0.263157895,26.243
0.789473684,0.789473684,28.772
0.789473684,1.315789474,33.897
0.789473684,1.842105263,40.995
0.789473684,2.368421053,52.556
0.789473684,2.894736842,70.638
0.789473684,3.421052632,94.106
0.789473684,3.947368421,152.588
0.789473684,5,238.802
-4.473684211,-3.421052632,121.054
1.315789474,-5,164.167
1.315789474,-3.947368421,110.623
1.315789474,-3.421052632,76.775
1.315789474,-2.894736842,59.307
1.315789474,-2.368421053,46.19
1.315789474,-1.842105263,38.075
1.315789474,-1.315789474,33.811
1.315789474,-0.789473684,31.408
1.315789474,-0.263157895,30.738
1.315789474,0.263157895,31.563
1.315789474,0.789473684,34.203
1.315789474,1.315789474,39.891
1.315789474,1.842105263,47.195
1.315789474,2.368421053,59.34
1.315789474,2.894736842,79.975
1.315789474,3.421052632,107.95
1.315789474,3.947368421,160.664
1.315789474,5,234.905
1.842105263,-5,156.12
1.842105263,-3.947368421,124.208
1.842105263,-3.421052632,89.672
1.842105263,-2.894736842,69.084
1.842105263,-2.368421053,55.929
1.842105263,-1.842105263,47.217
1.842105263,-1.315789474,42.249
1.842105263,-0.789473684,39.641
1.842105263,-0.263157895,39.28
1.842105263,0.263157895,40.391
1.842105263,0.789473684,43.088
1.842105263,1.315789474,48.94
1.842105263,1.842105263,57.458
1.842105263,2.368421053,70.214
1.842105263,2.894736842,92.43
1.842105263,3.421052632,123.047
1.842105263,3.947368421,179.304
1.842105263,5,208.876
2.368421053,-5,154.246
2.368421053,-3.947368421,141.279
2.368421053,-3.421052632,107.906
2.368421053,-2.894736842,87.029
2.368421053,-2.368421053,71.948
2.368421053,-1.842105263,62.058
2.368421053,-1.315789474,55.154
2.368421053,-0.789473684,52.49
2.368421053,-0.263157895,51.451
2.368421053,0.263157895,54.694
2.368421053,0.789473684,58.187
2.368421053,1.315789474,63.751
2.368421053,1.842105263,73.275
2.368421053,2.368421053,88.228
2.368421053,2.894736842,112.211
2.368421053,3.421052632,144.947
2.368421053,3.947368421,207.032
2.368421053,5,184.424
-5,-3.947368421,61.644
2.894736842,-5,151.571
2.894736842,-4.473684211,232.523
2.894736842,-3.421052632,135.608
2.894736842,-2.894736842,113.853
2.894736842,-2.368421053,96.921
2.894736842,-1.842105263,84.343
2.894736842,-1.315789474,76.547
2.894736842,-0.789473684,73.036
2.894736842,-0.263157895,71.843
2.894736842,0.263157895,72.621
2.894736842,0.789473684,80.317
2.894736842,1.315789474,86.215
2.894736842,1.842105263,99.592
2.894736842,2.368421053,115.879
2.894736842,2.894736842,138.35
2.894736842,3.421052632,173.458
2.894736842,4.473684211,258.672
2.894736842,5,148.331
3.421052632,-5,165.586
3.421052632,-4.473684211,223.02
3.421052632,-2.894736842,155.197
3.421052632,-2.368421053,128.823
3.421052632,-1.842105263,118.334
3.421052632,-1.315789474,113.953
3.421052632,-0.789473684,110.9
3.421052632,-0.263157895,108.607
3.421052632,0.263157895,107.139
3.421052632,0.789473684,109.228
3.421052632,1.315789474,121.537
3.421052632,1.842105263,135.054
3.421052632,2.368421053,151.829
3.421052632,2.894736842,177.015
3.421052632,4.473684211,172.619
3.421052632,5,115.138
3.947368421,-5,220.256
3.947368421,-4.473684211,276.152
3.947368421,-3.947368421,311.564
3.947368421,-2.894736842,240.792
3.947368421,-2.368421053,210.175
3.947368421,-1.842105263,200.578
3.947368421,-1.315789474,194.339
3.947368421,-0.789473684,190.386
3.947368421,-0.263157895,187.333
3.947368421,0.263157895,182.835
3.947368421,0.789473684,179.712
3.947368421,1.315789474,183.727
3.947368421,1.842105263,200.475
3.947368421,2.368421053,223.336
3.947368421,2.894736842,274.38
3.947368421,3.947368421,192.427
3.947368421,4.473684211,125.277
3.947368421,5,88.942
-4.473684211,3.421052632,142.576
4.473684211,3.421052632,179.105
4.473684211,3.947368421,126.252
4.473684211,4.473684211,97.734
4.473684211,5,73.497
-4.473684211,3.947368421,102.886
5,-5,322.67
5,-4.473684211,350.975
5,-3.947368421,345.083
5,-3.421052632,336.058
5,-2.894736842,330.323
5,-2.368421053,320.586
5,-1.842105263,313.223
5,-1.315789474,306.208
5,-0.789473684,300.623
5,-0.263157895,295.751
-4.473684211,4.473684211,79.905
5,0.263157895,289.352
5,0.789473684,284.157
5,1.315789474,270.778
5,1.842105263,235.259
5,2.368421053,200.673
5,2.894736842,157.234
5,3.421052632,120.195
5,3.947368421,90.919
5,4.473684211,74.304
5,5,63.299
-4.473684211,5,60.708
-5,-3.421052632,80.917
-3.947368421,-5,60.57
-3.947368421,-4.473684211,85.342
-3.947368421,-3.947368421,130.044
-3.947368421,-2.894736842,186.869
-3.947368421,-2.368421053,151.873
-3.947368421,-1.842105263,135.292
-3.947368421,-1.315789474,124.227
-3.947368421,-0.789473684,120.376
-3.947368421,-0.263157895,123.037
-5,-2.894736842,106.819
-3.947368421,0.263157895,124.709
-3.947368421,0.789473684,125.705
-3.947368421,1.315789474,132.159
-3.947368421,1.842105263,149.092
-3.947368421,2.368421053,170.716
-3.947368421,2.894736842,216.594
-3.947368421,3.947368421,157.351
-3.947368421,4.473684211,104.419
-3.947368421,5,74.044
-5,-2.368421053,136.329
-3.421052632,-5,78.614
-3.421052632,-4.473684211,117.924
-3.421052632,-2.894736842,121.131
-3.421052632,-2.368421053,103.787
-3.421052632,-1.842105263,91.315
-3.421052632,-1.315789474,83.021
-3.421052632,-0.789473684,74.796
-3.421052632,-0.263157895,73.004
-5,-1.842105263,158.358
-3.421052632,0.263157895,73.971
-3.421052632,0.789473684,78.546
-3.421052632,1.315789474,89.106
-3.421052632,1.842105263,101.319
-3.421052632,2.368421053,119.872
-3.421052632,2.894736842,142.065
-3.421052632,4.473684211,147.767
-3.421052632,5,98.294
-5,-1.315789474,182.508
-2.894736842,-5,100.921
-2.894736842,-4.473684211,176.401
-2.894736842,-3.421052632,117.795
-2.894736842,-2.894736842,94.502
-2.894736842,-2.368421053,79.741
-2.894736842,-1.842105263,67.879
-2.894736842,-1.315789474,60.323
-2.894736842,-0.789473684,55.679
-2.894736842,-0.263157895,51.6
-5,-0.789473684,190.088
-2.894736842,0.263157895,52.42
-2.894736842,0.789473684,59.014
-2.894736842,1.315789474,65.552
-2.894736842,1.842105263,76.172
-2.894736842,2.368421053,93.126
-2.894736842,2.894736842,113.297
-2.894736842,3.421052632,145.695
-2.894736842,4.473684211,224.812
-2.894736842,5,128.661
-5,-0.263157895,192.604
